file;packageClass;class;type;cbo;wmc;dit;noc;lcom;nom;nof;loc
fusepool-sma10620338;org.arabidopsis.ahocorasick.EdgeList;EdgeList;interface;2;3;1;0;3;3;0;9
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.Html2Text;Html2Text;class;1;4;2;0;0;4;1;45
fusepool-sma10620338;org.tartarus.snowball.Among;Among;class;2;4;1;0;0;1;6;28
fusepool-sma10620338;org.tartarus.snowball.ext.englishStemmer;englishStemmer;class;3;283;3;0;121;19;19;1286
fusepool-sma10620338;org.tartarus.snowball.ext.hungarianStemmer;hungarianStemmer;class;3;221;3;0;147;18;16;1132
fusepool-sma10620338;org.tartarus.snowball.ext.portugueseStemmer;portugueseStemmer;class;3;227;3;0;71;14;15;1097
fusepool-sma10620338;org.arabidopsis.ahocorasick.AhoCorasick;AhoCorasick;class;5;26;1;0;0;9;2;134
fusepool-sma10620338;org.tartarus.snowball.TestApp;TestApp;class;1;16;1;0;1;2;0;66
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.DictionaryStore;DictionaryStore;class;1;26;1;0;0;9;2;121
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.DictionaryAnnotator;DictionaryAnnotator;class;11;100;1;0;0;11;15;555
fusepool-sma10620338;org.arabidopsis.ahocorasick.SparseEdgeList;SparseEdgeList;class;4;10;1;0;0;5;4;49
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.ProcessedText;ProcessedText;class;2;19;1;0;1;7;4;94
fusepool-sma10620338;org.tartarus.snowball.ext.romanianStemmer;romanianStemmer;class;3;197;3;0;69;15;13;1007
fusepool-sma10620338;org.tartarus.snowball.SnowballProgram;SnowballProgram;class;3;145;1;1;4;29;6;387
fusepool-sma10620338;org.tartarus.snowball.SnowballStemmer;SnowballStemmer;class;1;1;2;0;0;1;0;5
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.LevenshteinDistance;LevenshteinDistance;class;1;14;1;0;6;4;0;47
fusepool-sma10620338;org.arabidopsis.ahocorasick.State;State;class;5;19;1;0;1;11;5;77
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.Annotation;Annotation;class;1;38;1;0;310;32;12;189
fusepool-sma10620338;org.tartarus.snowball.ext.germanStemmer;germanStemmer;class;3;159;3;0;33;10;13;704
fusepool-sma10620338;org.tartarus.snowball.ext.frenchStemmer;frenchStemmer;class;3;320;3;0;64;16;16;1482
fusepool-sma10620338;org.tartarus.snowball.ext.spanishStemmer;spanishStemmer;class;3;236;3;0;63;14;16;1162
fusepool-sma10620338;org.tartarus.snowball.ext.italianStemmer;italianStemmer;class;3;241;3;0;69;14;16;1160
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.Concept;Concept;class;1;7;1;0;0;5;4;49
fusepool-sma10620338;org.arabidopsis.ahocorasick.TimeTrial;TimeTrial;class;1;2;1;0;0;1;0;28
fusepool-sma10620338;org.tartarus.snowball.ext.danishStemmer;danishStemmer;class;3;77;3;0;6;9;10;414
fusepool-sma10620338;org.tartarus.snowball.ext.turkishStemmer;turkishStemmer;class;3;730;3;0;890;44;36;3059
fusepool-sma10620338;org.tartarus.snowball.ext.swedishStemmer;swedishStemmer;class;3;60;3;0;8;8;9;341
fusepool-sma10620338;org.arabidopsis.ahocorasick.Searcher;Searcher;class;2;6;1;0;0;4;2;27
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.LabelType;LabelType;enum;1;8;1;0;0;5;1;46
fusepool-sma10620338;org.arabidopsis.ahocorasick.SearchResult;SearchResult;class;2;3;1;0;0;3;3;31
fusepool-sma10620338;org.tartarus.snowball.ext.porterStemmer;porterStemmer;class;3;199;3;0;79;15;13;888
fusepool-sma10620338;org.tartarus.snowball.ext.finnishStemmer;finnishStemmer;class;3;213;3;0;31;15;20;1010
fusepool-sma10620338;org.tartarus.snowball.ext.russianStemmer;russianStemmer;class;3;138;3;0;81;14;13;709
fusepool-sma10620338;org.arabidopsis.ahocorasick.Queue;Queue;class;1;9;1;0;0;4;2;31
fusepool-sma10620338;org.arabidopsis.ahocorasick.Benchmark;Benchmark;class;1;8;1;0;0;1;0;47
fusepool-sma10620338;org.tartarus.snowball.ext.dutchStemmer;dutchStemmer;class;3;195;3;0;44;13;14;820
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.Token;Token;class;0;21;1;0;59;15;7;100
fusepool-sma10620338;eu.fusepool.enhancer.engines.dictionaryannotator.DictionaryAnnotatorEnhancerEngine;DictionaryAnnotatorEnhancerEngine;class;50;96;2;0;12;8;34;666
fusepool-sma10620338;org.tartarus.snowball.ext.norwegianStemmer;norwegianStemmer;class;3;65;3;0;8;8;9;350
fusepool-sma10620338;org.arabidopsis.ahocorasick.DenseEdgeList;DenseEdgeList;class;5;13;1;0;0;5;1;46
